benchmark, result, time
dglm-3, UNKNOWN, 37876
dglm-3, UNKNOWN, 35920
dglm-3, TIMEOUT, 120004
dglm-3-CAS-relaxed, UNKNOWN, 53105
dglm-3-CAS-relaxed, FAIL, 6580
dglm-3-CAS-relaxed, FAIL, 14959
ms-3, UNKNOWN, 112728
ms-3, UNKNOWN, 78833
ms-3, TIMEOUT, 120029
ms-3-CAS-relaxed, UNKNOWN, 112240
ms-3-CAS-relaxed, FAIL, 17976
ms-3-CAS-relaxed, FAIL, 20191
treiber-3, UNKNOWN, 17345
treiber-3, UNKNOWN, 9533
treiber-3, UNKNOWN, 17631
treiber-3-CAS-relaxed, UNKNOWN, 7559
treiber-3-CAS-relaxed, FAIL, 488
treiber-3-CAS-relaxed, FAIL, 2141
chase-lev-5, PASS, 1220
chase-lev-5, PASS, 1092
chase-lev-5, PASS, 24181
chase-lev-6, FAIL, 1423
chase-lev-6, FAIL, 2155
chase-lev-6, FAIL, 2630
